PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FareNew,FareGroup,AgeGroup
892,0,3,0,34.5,0,0,7.8292,Q,1,8,0-10,Adult
893,1,3,1,47.0,1,0,7.0,S,2,7,0-10,Adult
894,0,2,0,62.0,0,0,9.6875,Q,1,10,0-10,Senior
895,0,3,0,27.0,0,0,8.6625,S,1,9,0-10,Young Adult
896,1,3,1,22.0,1,1,12.2875,S,3,12,10-20,Young Adult
897,0,3,0,14.0,0,0,9.225,S,1,9,0-10,Teenager
898,1,3,1,30.0,0,0,7.6292,Q,1,8,0-10,Young Adult
899,0,2,0,26.0,1,1,29.0,S,3,29,20-30,Young Adult
900,1,3,1,18.0,0,0,7.2292,C,1,7,0-10,Teenager
901,0,3,0,21.0,2,0,24.15,S,3,24,20-30,Young Adult
902,0,3,0,27.0,0,0,7.8958,S,1,8,0-10,Young Adult
903,0,1,0,46.0,0,0,26.0,S,1,26,20-30,Adult
904,1,1,1,23.0,1,0,82.2667,S,2,82,50-100,Young Adult
905,0,2,0,63.0,1,0,26.0,S,2,26,20-30,Senior
906,1,1,1,47.0,1,0,61.175,S,2,61,50-100,Adult
907,1,2,1,24.0,1,0,27.7208,C,2,28,20-30,Young Adult
908,0,2,0,35.0,0,0,12.35,Q,1,12,10-20,Adult
909,0,3,0,21.0,0,0,7.225,C,1,7,0-10,Young Adult
910,1,3,1,27.0,1,0,7.925,S,2,8,0-10,Young Adult
911,1,3,1,45.0,0,0,7.225,C,1,7,0-10,Adult
912,0,1,0,55.0,1,0,59.4,C,2,59,50-100,Senior
913,0,3,0,9.0,0,1,3.1708,S,2,3,0-10,Child
914,1,1,1,27.0,0,0,31.6833,S,1,32,30-40,Young Adult
915,0,1,0,21.0,0,1,61.3792,C,2,61,50-100,Young Adult
916,1,1,1,48.0,1,3,262.375,C,5,262,>100,Adult
917,0,3,0,50.0,1,0,14.5,S,2,14,10-20,Adult
918,1,1,1,22.0,0,1,61.9792,C,2,62,50-100,Young Adult
919,0,3,0,22.5,0,0,7.225,C,1,7,0-10,Young Adult
920,0,1,0,41.0,0,0,30.5,S,1,30,20-30,Adult
921,0,3,0,27.0,2,0,21.6792,C,3,22,20-30,Young Adult
922,0,2,0,50.0,1,0,26.0,S,2,26,20-30,Adult
923,0,2,0,24.0,2,0,31.5,S,3,32,30-40,Young Adult
924,1,3,1,33.0,1,2,20.575,S,4,21,20-30,Adult
925,1,3,1,27.0,1,2,23.45,S,4,23,20-30,Young Adult
926,0,1,0,30.0,1,0,57.75,C,2,58,50-100,Young Adult
927,0,3,0,18.5,0,0,7.2292,C,1,7,0-10,Young Adult
928,1,3,1,27.0,0,0,8.05,S,1,8,0-10,Young Adult
929,1,3,1,21.0,0,0,8.6625,S,1,9,0-10,Young Adult
930,0,3,0,25.0,0,0,9.5,S,1,10,0-10,Young Adult
931,0,3,0,27.0,0,0,56.4958,S,1,56,50-100,Young Adult
932,0,3,0,39.0,0,1,13.4167,C,2,13,10-20,Adult
933,0,1,0,27.0,0,0,26.55,S,1,27,20-30,Young Adult
934,0,3,0,41.0,0,0,7.85,S,1,8,0-10,Adult
935,1,2,1,30.0,0,0,13.0,S,1,13,10-20,Young Adult
936,1,1,1,45.0,1,0,52.5542,S,2,53,50-100,Adult
937,0,3,0,25.0,0,0,7.925,S,1,8,0-10,Young Adult
938,0,1,0,45.0,0,0,29.7,C,1,30,20-30,Adult
939,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
940,1,1,1,60.0,0,0,76.2917,C,1,76,50-100,Senior
941,1,3,1,36.0,0,2,15.9,S,3,16,10-20,Adult
942,0,1,0,24.0,1,0,60.0,S,2,60,50-100,Young Adult
943,0,2,0,27.0,0,0,15.0333,C,1,15,10-20,Young Adult
944,1,2,1,20.0,2,1,23.0,S,4,23,20-30,Young Adult
945,1,1,1,28.0,3,2,263.0,S,6,263,>100,Young Adult
946,0,2,0,27.0,0,0,15.5792,C,1,16,10-20,Young Adult
947,0,3,0,10.0,4,1,29.125,Q,6,29,20-30,Child
948,0,3,0,35.0,0,0,7.8958,S,1,8,0-10,Adult
949,0,3,0,25.0,0,0,7.65,S,1,8,0-10,Young Adult
950,0,3,0,27.0,1,0,16.1,S,2,16,10-20,Young Adult
951,1,1,1,36.0,0,0,262.375,C,1,262,>100,Adult
952,0,3,0,17.0,0,0,7.8958,S,1,8,0-10,Teenager
953,0,2,0,32.0,0,0,13.5,S,1,14,10-20,Adult
954,0,3,0,18.0,0,0,7.75,S,1,8,0-10,Teenager
955,1,3,1,22.0,0,0,7.725,Q,1,8,0-10,Young Adult
956,0,1,0,13.0,2,2,262.375,C,5,262,>100,Teenager
957,1,2,1,27.0,0,0,21.0,S,1,21,20-30,Young Adult
958,1,3,1,18.0,0,0,7.8792,Q,1,8,0-10,Teenager
959,0,1,0,47.0,0,0,42.4,S,1,42,40-50,Adult
960,0,1,0,31.0,0,0,28.5375,C,1,29,20-30,Adult
961,1,1,1,60.0,1,4,263.0,S,6,263,>100,Senior
962,1,3,1,24.0,0,0,7.75,Q,1,8,0-10,Young Adult
963,0,3,0,21.0,0,0,7.8958,S,1,8,0-10,Young Adult
964,1,3,1,29.0,0,0,7.925,S,1,8,0-10,Young Adult
965,0,1,0,28.5,0,0,27.7208,C,1,28,20-30,Young Adult
966,1,1,1,35.0,0,0,211.5,C,1,212,>100,Adult
967,0,1,0,32.5,0,0,211.5,C,1,212,>100,Adult
968,0,3,0,27.0,0,0,8.05,S,1,8,0-10,Young Adult
969,1,1,1,55.0,2,0,25.7,S,3,26,20-30,Senior
970,0,2,0,30.0,0,0,13.0,S,1,13,10-20,Young Adult
971,1,3,1,24.0,0,0,7.75,Q,1,8,0-10,Young Adult
972,0,3,0,6.0,1,1,15.2458,C,3,15,10-20,Child
973,0,1,0,67.0,1,0,221.7792,S,2,222,>100,Senior
974,0,1,0,49.0,0,0,26.0,S,1,26,20-30,Adult
975,0,3,0,27.0,0,0,7.8958,S,1,8,0-10,Young Adult
976,0,2,0,27.0,0,0,10.7083,Q,1,11,10-20,Young Adult
977,0,3,0,27.0,1,0,14.4542,C,2,14,10-20,Young Adult
978,1,3,1,27.0,0,0,7.8792,Q,1,8,0-10,Young Adult
979,1,3,1,18.0,0,0,8.05,S,1,8,0-10,Teenager
980,1,3,1,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
981,0,2,0,2.0,1,1,23.0,S,3,23,20-30,Child
982,1,3,1,22.0,1,0,13.9,S,2,14,10-20,Young Adult
983,0,3,0,27.0,0,0,7.775,S,1,8,0-10,Young Adult
984,1,1,1,27.0,1,2,52.0,S,4,52,50-100,Young Adult
985,0,3,0,27.0,0,0,8.05,S,1,8,0-10,Young Adult
986,0,1,0,25.0,0,0,26.0,C,1,26,20-30,Young Adult
987,0,3,0,25.0,0,0,7.7958,S,1,8,0-10,Young Adult
988,1,1,1,76.0,1,0,78.85,S,2,79,50-100,Senior
989,0,3,0,29.0,0,0,7.925,S,1,8,0-10,Young Adult
990,1,3,1,20.0,0,0,7.8542,S,1,8,0-10,Young Adult
991,0,3,0,33.0,0,0,8.05,S,1,8,0-10,Adult
992,1,1,1,43.0,1,0,55.4417,C,2,55,50-100,Adult
993,0,2,0,27.0,1,0,26.0,S,2,26,20-30,Young Adult
994,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
995,0,3,0,26.0,0,0,7.775,S,1,8,0-10,Young Adult
996,1,3,1,16.0,1,1,8.5167,C,3,9,0-10,Teenager
997,0,3,0,28.0,0,0,22.525,S,1,23,20-30,Young Adult
998,0,3,0,21.0,0,0,7.8208,Q,1,8,0-10,Young Adult
999,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1000,0,3,0,27.0,0,0,8.7125,S,1,9,0-10,Young Adult
1001,0,2,0,18.5,0,0,13.0,S,1,13,10-20,Young Adult
1002,0,2,0,41.0,0,0,15.0458,C,1,15,10-20,Adult
1003,1,3,1,27.0,0,0,7.7792,Q,1,8,0-10,Young Adult
1004,1,1,1,36.0,0,0,31.6792,C,1,32,30-40,Adult
1005,1,3,1,18.5,0,0,7.2833,Q,1,7,0-10,Young Adult
1006,1,1,1,63.0,1,0,221.7792,S,2,222,>100,Senior
1007,0,3,0,18.0,1,0,14.4542,C,2,14,10-20,Teenager
1008,0,3,0,27.0,0,0,6.4375,C,1,6,0-10,Young Adult
1009,1,3,1,1.0,1,1,16.7,S,3,17,10-20,Child
1010,0,1,0,36.0,0,0,75.2417,C,1,75,50-100,Adult
1011,1,2,1,29.0,1,0,26.0,S,2,26,20-30,Young Adult
1012,1,2,1,12.0,0,0,15.75,S,1,16,10-20,Child
1013,0,3,0,27.0,1,0,7.75,Q,2,8,0-10,Young Adult
1014,1,1,1,35.0,1,0,57.75,C,2,58,50-100,Adult
1015,0,3,0,28.0,0,0,7.25,S,1,7,0-10,Young Adult
1016,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1017,1,3,1,17.0,0,1,16.1,S,2,16,10-20,Teenager
1018,0,3,0,22.0,0,0,7.7958,S,1,8,0-10,Young Adult
1019,1,3,1,27.0,2,0,23.25,Q,3,23,20-30,Young Adult
1020,0,2,0,42.0,0,0,13.0,S,1,13,10-20,Adult
1021,0,3,0,24.0,0,0,8.05,S,1,8,0-10,Young Adult
1022,0,3,0,32.0,0,0,8.05,S,1,8,0-10,Adult
1023,0,1,0,53.0,0,0,28.5,C,1,28,20-30,Senior
1024,1,3,1,27.0,0,4,25.4667,S,5,25,20-30,Young Adult
1025,0,3,0,27.0,1,0,6.4375,C,2,6,0-10,Young Adult
1026,0,3,0,43.0,0,0,7.8958,S,1,8,0-10,Adult
1027,0,3,0,24.0,0,0,7.8542,S,1,8,0-10,Young Adult
1028,0,3,0,26.5,0,0,7.225,C,1,7,0-10,Young Adult
1029,0,2,0,26.0,0,0,13.0,S,1,13,10-20,Young Adult
1030,1,3,1,23.0,0,0,8.05,S,1,8,0-10,Young Adult
1031,0,3,0,40.0,1,6,46.9,S,8,47,40-50,Adult
1032,1,3,1,10.0,5,2,46.9,S,8,47,40-50,Child
1033,1,1,1,33.0,0,0,151.55,S,1,152,>100,Adult
1034,0,1,0,61.0,1,3,262.375,C,5,262,>100,Senior
1035,0,2,0,28.0,0,0,26.0,S,1,26,20-30,Young Adult
1036,0,1,0,42.0,0,0,26.55,S,1,27,20-30,Adult
1037,0,3,0,31.0,3,0,18.0,S,4,18,10-20,Adult
1038,0,1,0,27.0,0,0,51.8625,S,1,52,50-100,Young Adult
1039,0,3,0,22.0,0,0,8.05,S,1,8,0-10,Young Adult
1040,0,1,0,27.0,0,0,26.55,S,1,27,20-30,Young Adult
1041,0,2,0,30.0,1,1,26.0,S,3,26,20-30,Young Adult
1042,1,1,1,23.0,0,1,83.1583,C,2,83,50-100,Young Adult
1043,0,3,0,27.0,0,0,7.8958,C,1,8,0-10,Young Adult
1044,0,3,0,60.5,0,0,14.4542,S,1,14,10-20,Senior
1045,1,3,1,36.0,0,2,12.1833,S,3,12,10-20,Adult
1046,0,3,0,13.0,4,2,31.3875,S,7,31,30-40,Teenager
1047,0,3,0,24.0,0,0,7.55,S,1,8,0-10,Young Adult
1048,1,1,1,29.0,0,0,221.7792,S,1,222,>100,Young Adult
1049,1,3,1,23.0,0,0,7.8542,S,1,8,0-10,Young Adult
1050,0,1,0,42.0,0,0,26.55,S,1,27,20-30,Adult
1051,1,3,1,26.0,0,2,13.775,S,3,14,10-20,Young Adult
1052,1,3,1,27.0,0,0,7.7333,Q,1,8,0-10,Young Adult
1053,0,3,0,7.0,1,1,15.2458,C,3,15,10-20,Child
1054,1,2,1,26.0,0,0,13.5,S,1,14,10-20,Young Adult
1055,0,3,0,27.0,0,0,7.0,S,1,7,0-10,Young Adult
1056,0,2,0,41.0,0,0,13.0,S,1,13,10-20,Adult
1057,1,3,1,26.0,1,1,22.025,S,3,22,20-30,Young Adult
1058,0,1,0,48.0,0,0,50.4958,C,1,50,40-50,Adult
